arr,dep
-3.2,3.5
-4.2,-0.5
13.0,13.75
0.6666666666666666,-2.6666666666666665
-9.0,-5.0
-1.8571428571428572,2.3333333333333335
30.0,2.5
-8.75,6.0
1.5,13.6
-6.0,-2.5
-1.5,4.5
-18.333333333333332,-2.8
-1.25,-5.5
-3.0,5.6
-0.25,13.571428571428571
-3.8,-4.666666666666667
-4.25,7.5
-11.833333333333334,-5.666666666666667
-0.75,-4.0
27.0,-1.0
0.4,-3.0
1.5,0.0
-12.333333333333334,17.714285714285715
-3.0,0.0
-9.0,0.0
-10.333333333333334,0.0
0.0,-3.8333333333333335
0.0,-4.625
0.0,-4.5
-7.75,0.2857142857142857
-0.3333333333333333,2.0
-10.75,-1.3333333333333333
-7.571428571428571,10.666666666666666
-11.333333333333334,-3.5555555555555554
-7.0,-4.0
-19.666666666666668,2.3333333333333335
-6.4,-1.0
-4.6,-3.0
-12.8,-5.0
-3.0,1.6666666666666667
-4.0,-4.666666666666667
-7.25,-6.0
-14.0,-3.4
-15.2,3.3333333333333335
19.666666666666668,-4.0
-14.0,-2.0
-10.5,-4.0
-5.0,8.166666666666666
9.0,-2.0
-31.0,-4.2
-12.6,4.5
-10.166666666666666,-1.0
-9.0,3.3333333333333335
-8.142857142857142,-4.666666666666667
-17.25,-3.125
5.5,30.0
-12.0,-4.0
-7.142857142857143,-3.0
-2.0,0.0
-13.333333333333334,0.0
-9.0,0.0
5.0,0.0
0.0,-3.7142857142857144
0.0,-3.7142857142857144
0.0,-3.0
-9.8,2.2857142857142856
-4.0,0.125
-2.8,3.5
-5.333333333333333,9.0
-0.3333333333333333,-2.888888888888889
-12.166666666666666,-7.5
-14.666666666666666,-1.3333333333333333
-5.25,-6.0
-3.6,-4.0
-10.4,-4.0
-14.666666666666666,-3.6666666666666665
-6.333333333333333,2.0
-12.5,0.0
-13.0,-1.4
-12.2,2.6666666666666665
-5.666666666666667,-1.5
2.0,0.4
-17.0,4.25
-16.8,9.833333333333334
-15.0,2.0
-45.0,4.666666666666667
4.6,3.0
-10.0,3.2
-4.5,-2.25
-4.428571428571429,-7.666666666666667
-10.5,-5.875
